unique_id,statement,score,tag,is_spam,date
e0bfe69b-ff8a-43f5-babc-8e9e857d3c6a,I would not recommend this to anyone.,-0.72,NEGATIVE,False,2023-04-21
b647c226-acb1-4d1e-ae43-25a5bcc08aa9,"It’s fine, neither good nor bad.",-0.15,NEUTRAL,False,2023-05-19
a668404e-6524-453f-9587-94dd981224be,Great service!,0.86,POSITIVE,False,2023-05-22
d8935957-3be8-4823-8875-548bdb1e663d,Highly recommend this product!,0.75,POSITIVE,False,2023-06-04
ea407d66-bd3b-4ca9-b0a8-2208e71c7593,Highly recommend this product!,0.5,POSITIVE,False,2023-06-19
8f1caa71-9914-40d9-b3c7-b9c4ea306e4e,"It’s fine, neither good nor bad.",0.07,NEUTRAL,False,2023-07-17
b0c27eef-3a61-4985-b63c-30bb9bd1b0e0,This is awful.,-0.8,NEGATIVE,False,2023-07-30
4e7a6855-1bd6-4286-b031-a36d42ea6229,Great service!,0.72,POSITIVE,False,2023-08-11
f7c93fe9-7d53-49be-b19f-f0f274b4fc90,"It’s fine, neither good nor bad.",0.08,NEUTRAL,False,2023-08-14
7a212bd4-bbe9-4374-b68b-f1682c24f1cd,This product is amazing!,0.87,POSITIVE,False,2023-09-11
f7047d8b-2242-420c-8eba-09032406878c,I hate this product.,-0.52,NEGATIVE,False,2023-09-21
3f71dbf2-97f4-4e28-85a4-b2be09cbd2b4,Nothing special about it.,-0.11,NEUTRAL,False,2023-09-25
ea3fb396-d583-422e-8c29-2a58ff7a581c,Nothing special about it.,0.05,NEUTRAL,False,2023-10-01
1800ed58-4f77-4af9-948a-d925258f1165,This is the best purchase I've made.,0.87,POSITIVE,False,2023-10-08
38be50a2-b3b3-4d87-9d29-2252787e2051,This product is amazing!,0.76,POSITIVE,False,2023-10-17
666eb59c-b3f3-4629-afe9-42a4efaca715,I hate this product.,-0.52,NEGATIVE,False,2023-10-24
fec7045f-b55e-459d-bc6a-5cb1b7c0cfbd,Great service!,0.93,POSITIVE,False,2023-11-10
2b2bb5d2-b289-4650-ace9-7f0dc765db98,I love this!,0.73,POSITIVE,False,2023-11-21
13be5b71-8018-49c9-9958-780e1179f031,This product is amazing!,0.8,POSITIVE,False,2023-12-02
cac2e72f-7ae9-49d6-bc12-0bd38847b805,Terrible experience.,-0.59,NEGATIVE,False,2023-12-15
c22491e7-c701-4a21-84a9-a4a942d781ff,I hate this product.,-0.88,NEGATIVE,False,2023-12-30
