approved,sex,age,months_in_current_job
False,M,46,82
False,F,37,33
False,M,37,9
False,M,33,88
False,M,34,1
True,M,48,10
False,F,31,49
False,M,23,30
False,F,46,55
False,M,22,78
True,M,39,72
True,M,48,86
False,F,31,82
True,F,26,8
False,M,48,98
False,M,30,20
True,M,20,72
True,M,25,27
True,F,34,61
False,F,34,109
True,M,38,114
False,M,30,6
False,M,45,79
True,M,42,15
False,F,45,96
True,M,21,3
True,F,33,3
False,M,21,102
True,F,48,39
True,M,23,16
False,M,36,100
True,F,22,102
True,M,32,51
False,M,28,92
True,F,26,51
True,F,34,35
False,M,42,37
True,M,48,102
False,M,48,49
True,M,30,62
True,M,39,100
False,M,21,115
False,M,34,62
True,M,33,61
False,M,39,98
True,M,41,6
False,M,30,26
True,M,46,91
True,M,22,85
True,M,36,13
False,F,49,70
True,M,31,100
True,M,43,85
False,M,47,4
False,M,48,54
False,M,40,1
True,M,34,61
True,M,35,90
False,M,24,20
True,M,46,117
False,F,39,101
False,M,25,78
True,M,38,20
True,M,44,9
True,F,24,86
False,M,22,57
True,M,46,119
False,F,20,38
False,F,45,4
False,F,47,64
True,M,25,12
True,M,34,84
False,M,21,89
True,M,48,113
True,M,22,108
False,M,36,84
True,F,44,52
True,M,43,81
False,M,31,100
False,M,37,44
True,M,34,31
True,M,31,35
True,M,35,80
False,M,46,98
True,M,27,112
False,M,47,59
False,M,33,10
True,F,44,62
False,M,36,20
False,M,48,51
False,F,40,54
False,M,27,116
False,F,34,25
True,M,46,67
False,F,33,33
True,M,37,51
True,F,39,111
True,M,26,81
False,F,22,103
True,M,48,98
True,M,31,104
True,F,40,92
True,M,43,51
True,M,47,28
False,M,45,37
True,M,22,41
True,M,39,20
True,M,33,41
True,F,34,12
False,M,44,112
True,M,49,104
False,F,33,63
False,F,26,16
False,M,36,119
False,M,49,8
True,M,31,40
False,M,39,0
False,M,23,1
True,M,28,59
True,M,25,47
True,M,35,28
True,F,44,96
True,F,47,9
False,M,50,113
False,M,41,57
True,M,41,59
False,F,40,103
True,M,40,20
False,M,21,27
False,F,43,74
True,F,27,118
True,F,30,33
True,M,32,7
True,M,36,58
False,M,27,85
False,F,40,71
True,F,37,48
True,M,49,78
False,M,37,16
True,M,33,59
False,F,34,86
False,F,50,87
False,M,25,44
True,M,30,82
True,M,32,68
False,F,44,31
True,F,20,43
False,F,47,64
False,M,25,86
False,M,28,100
False,M,27,7
False,M,30,76
True,F,41,71
True,F,38,120
True,F,43,86
False,F,28,42
False,M,36,0
False,M,31,108
False,F,44,50
True,F,33,23
False,M,34,98
True,M,35,23
True,M,41,16
False,F,41,4
True,M,47,19
True,M,39,20
True,M,20,103
True,M,29,57
False,M,27,30
False,M,37,109
False,M,47,99
False,M,20,10
True,M,21,51
False,M,20,14
True,F,20,82
True,M,28,6
False,M,32,114
False,F,49,27
True,M,20,50
True,M,32,106
True,M,39,57
False,M,45,4
False,M,41,4
False,M,26,93
False,M,21,117
True,M,25,95
True,M,26,7
True,M,45,63
True,M,33,9
True,M,45,37
False,M,37,110
False,F,34,95
True,M,21,111
False,M,29,91
True,M,42,80
True,M,31,94
False,M,36,7
True,F,27,103
True,F,30,24
True,M,48,72
True,F,22,65
True,M,46,78
False,M,25,49
False,M,28,66
True,F,25,48
True,M,28,35
False,M,26,67
False,M,50,77
True,M,28,104
True,M,37,40
True,M,31,88
True,M,27,118
False,M,27,61
False,M,37,113
True,M,47,9
False,M,49,20
False,M,39,35
False,F,49,11
True,M,34,90
True,M,46,103
False,M,50,1
False,M,26,117
True,M,30,12
True,M,39,52
False,M,35,31
False,M,23,94
False,M,25,15
True,M,45,31
False,M,41,31
False,M,45,97
True,M,50,10
True,M,22,9
False,M,50,14
True,M,28,16
False,M,47,39
True,M,29,17
False,M,33,54
True,F,30,72
False,F,37,24
True,M,41,103
True,M,31,58
True,F,42,77
True,M,31,88
True,M,32,113
False,M,44,21
False,M,32,115
True,M,38,29
False,M,45,83
True,M,38,84
True,M,42,43
False,M,33,31
True,M,23,50
False,M,32,45
True,M,27,112
False,F,48,119
False,M,42,20
True,M,40,98
True,M,42,31
True,M,38,93
True,M,31,118
False,M,37,38
True,M,25,112
False,M,37,11
True,M,38,104
True,M,41,46
True,M,24,17
True,M,43,20
False,M,28,12
True,F,46,20
False,M,22,7
True,M,47,45
False,M,29,103
True,M,38,109
True,M,22,6
False,M,48,22
False,M,48,107
True,M,41,95
False,M,50,74
False,M,34,85
False,M,20,21
False,M,26,106
True,M,31,88
True,M,36,21
False,M,49,91
False,F,40,28
False,M,50,12
False,M,45,81
False,M,48,1
False,M,43,28
False,M,39,84
True,M,24,78
False,M,23,51
True,M,47,26
True,M,31,49
True,F,49,94
True,M,39,78
True,M,47,114
True,M,43,22
True,F,37,87
True,M,36,43
True,M,38,76
True,F,28,21
False,F,23,42
False,F,45,36
False,M,40,60
True,M,21,96
True,M,23,55
True,F,21,2
True,M,34,62
False,M,21,117
False,M,23,18
True,M,25,22
True,M,26,28
True,M,29,29
False,M,38,38
True,M,38,107
True,M,45,110
True,M,41,24
True,M,48,100
True,M,31,110
False,M,22,7
True,M,32,105
True,M,37,57
True,M,27,15
True,M,40,71
False,M,34,0
False,M,20,107
True,M,22,4
True,F,45,2
True,M,27,64
False,F,23,3
True,M,35,103
True,M,49,98
True,M,42,95
False,M,29,63
True,M,31,105
True,M,33,97
False,M,33,106
True,F,21,88
True,F,42,9
True,F,24,20
False,M,24,45
False,M,25,102
False,F,32,90
False,M,28,26
False,M,49,65
True,M,41,40
False,M,47,111
True,F,48,12
True,M,34,8
True,M,33,115
True,M,43,35
True,M,26,85
True,M,44,105
False,F,39,89
False,M,21,57
True,M,26,53
True,M,25,11
False,F,36,80
True,M,46,77
True,F,44,13
False,M,44,120
True,M,47,33
True,M,21,52
False,M,22,120
True,M,24,19
False,M,24,74
True,M,50,15
False,F,20,114
False,M,27,94
True,M,31,118
True,F,43,69
False,M,23,55
False,M,32,82
True,F,42,100
False,M,34,57
False,M,50,3
False,M,30,110
False,M,29,3
True,M,22,19
True,M,41,9
False,F,33,23
True,M,35,117
False,M,29,98
True,M,48,25
True,M,29,36
False,M,31,101
True,M,49,84
True,M,28,53
False,M,20,103
False,F,24,102
False,M,39,20
True,F,27,73
True,M,30,37
True,F,31,45
True,M,20,3
True,M,44,59
True,M,41,56
True,M,39,44
False,M,47,19
True,M,44,16
True,M,30,118
False,M,24,70
True,M,34,3
False,M,24,92
True,M,31,13
True,M,24,2
False,M,36,87
False,F,36,100
False,M,43,79
True,M,31,57
False,M,43,54
True,F,47,115
False,M,34,3
True,M,34,119
True,M,25,23
False,M,31,33
True,M,46,29
False,F,48,81
True,F,39,18
False,M,37,30
False,M,33,59
False,F,21,59
False,M,28,18
False,M,50,48
True,M,24,62
True,M,39,109
False,M,45,82
True,M,48,21
False,F,20,23
True,F,42,108
True,M,22,75
True,M,25,29
True,F,24,57
False,F,40,101
True,M,46,116
True,F,24,30
False,F,20,99
True,M,36,63
False,M,38,18
True,M,33,47
False,M,31,44
False,M,29,99
True,F,39,93
True,M,40,54
False,M,37,112
False,M,43,54
True,M,46,96
False,F,30,17
False,M,49,62
True,M,21,115
True,M,44,112
False,M,37,91
True,M,48,46
True,M,44,74
True,M,26,56
True,M,50,117
False,M,43,44
False,M,34,32
False,F,30,16
True,M,37,69
False,M,42,3
True,M,31,19
False,M,25,111
False,M,39,46
True,M,42,90
False,F,49,14
False,M,32,69
True,M,39,46
False,M,35,77
True,F,37,74
True,M,29,102
False,M,47,8
True,M,42,89
True,M,27,15
False,M,37,68
False,F,40,120
False,M,20,115
True,M,42,60
False,M,27,9
True,M,48,49
True,M,25,2
True,M,24,76
False,M,34,106
False,M,41,112
True,M,34,93
False,M,21,117
False,M,20,108
False,M,42,69
False,M,42,80
True,M,45,108
False,F,30,50
False,F,29,116
False,M,49,18
True,M,37,41
True,M,37,34
False,M,36,45
True,M,45,25
True,M,27,114
True,M,34,68
True,M,27,92
False,M,36,63
False,M,31,36
False,M,46,83
False,M,27,48
True,M,44,20
False,M,33,73
False,M,23,63
True,M,20,4
True,M,20,99
False,M,38,69
False,M,50,89
False,M,35,3
True,M,33,102
False,F,40,38
False,F,35,113
True,M,24,34
False,M,28,0
True,M,45,23
False,M,49,56
False,F,47,99
True,M,21,69
True,M,37,40
False,M,25,53
True,M,50,45
True,M,28,59
True,M,20,107
False,M,28,59
True,F,44,56
False,F,35,30
False,M,32,83
False,M,28,23
False,M,40,88
True,M,32,35
False,M,50,84
False,M,28,29
True,M,30,23
False,M,23,107
False,M,21,105
False,M,48,29
False,F,25,85
False,M,33,91
True,M,23,6
False,F,25,34
False,M,38,54
True,F,25,91
True,M,21,13
False,M,37,119
True,M,32,9
False,M,28,79
False,M,42,15
True,M,38,53
False,M,32,94
True,M,30,105
False,F,20,88
True,F,43,76
False,M,49,69
True,M,41,43
True,M,26,72
True,M,44,44
False,F,40,99
True,M,34,55
True,M,20,106
True,M,31,83
True,M,45,81
True,M,26,106
False,F,34,56
False,M,40,20
False,M,38,67
False,M,47,49
True,F,48,32
True,F,44,90
True,M,20,6
False,M,36,69
True,M,36,14
True,M,22,81
True,F,31,31
True,M,25,119
False,M,45,74
True,M,30,19
True,M,22,87
False,M,27,14
False,M,33,47
True,M,33,70
True,M,29,20
True,M,21,41
True,M,33,25
False,M,28,107
False,M,22,119
False,M,40,13
False,M,45,56
False,M,27,36
False,M,35,57
False,M,21,20
True,F,25,81
False,M,47,68
True,M,40,2
True,M,48,86
False,M,45,89
False,M,44,36
False,M,31,87
False,M,24,48
True,M,21,18
False,M,35,114
False,M,24,88
False,M,34,84
True,M,31,11
True,M,23,120
True,M,34,60
False,M,30,40
True,M,35,32
True,M,42,49
True,F,25,116
True,M,33,67
False,M,37,105
True,M,31,120
True,M,46,70
False,M,30,85
False,M,32,118
True,F,40,32
False,M,42,80
True,F,30,23
True,M,42,60
